Sample:float,Data:float
9000,-2.04E+07
9001,-2.02E+07
9002,-1.99E+07
9003,-1.97E+07
9004,-1.98E+07
9005,-1.95E+07
9006,-1.97E+07
9007,-1.97E+07
9008,-1.95E+07
9009,-1.95E+07
9010,-1.93E+07
9011,-1.97E+07
9012,-1.93E+07
9013,-1.94E+07
9014,-1.94E+07
9015,-1.93E+07
9016,-1.96E+07
9017,-1.94E+07
9018,-1.93E+07
9019,-1.94E+07
9020,-1.93E+07
9021,-1.92E+07
9022,-1.93E+07
9023,-1.90E+07
9024,-1.89E+07
9025,-1.89E+07
9026,-1.87E+07
9027,-1.88E+07
9028,-1.86E+07
9029,-1.87E+07
9030,-1.87E+07
9031,-1.86E+07
9032,-1.89E+07
9033,-1.87E+07
9034,-1.87E+07
9035,-1.85E+07
9036,-1.83E+07
9037,-1.84E+07
9038,-1.82E+07
9039,-1.82E+07
9040,-1.82E+07
9041,-1.79E+07
9042,-1.81E+07
9043,-1.80E+07
9044,-1.80E+07
9045,-1.82E+07
9046,-1.78E+07
9047,-1.79E+07
9048,-1.77E+07
9049,-1.74E+07
9050,-1.78E+07
9051,-1.76E+07
9052,-1.78E+07
9053,-1.78E+07
9054,-1.78E+07
9055,-1.79E+07
9056,-1.76E+07
9057,-1.78E+07
9058,-1.78E+07
9059,-1.78E+07
9060,-1.80E+07
9061,-1.79E+07
9062,-1.80E+07
9063,-1.81E+07
9064,-1.81E+07
9065,-1.85E+07
9066,-1.85E+07
9067,-1.87E+07
9068,-1.91E+07
9069,-1.91E+07
9070,-1.93E+07
9071,-1.93E+07
9072,-1.94E+07
9073,-1.97E+07
9074,-1.97E+07
9075,-1.97E+07
9076,-1.97E+07
9077,-1.96E+07
9078,-1.99E+07
9079,-1.99E+07
9080,-2.01E+07
9081,-2.04E+07
9082,-2.01E+07
9083,-2.03E+07
9084,-2.02E+07
9085,-2.05E+07
9086,-2.08E+07
9087,-2.08E+07
9088,-2.13E+07
9089,-2.11E+07
9090,-2.14E+07
9091,-2.18E+07
9092,-2.14E+07
9093,-2.18E+07
9094,-2.18E+07
9095,-2.18E+07
9096,-2.18E+07
9097,-2.16E+07
9098,-2.19E+07
9099,-2.20E+07
9100,-2.17E+07
9101,-2.20E+07
9102,-2.20E+07
9103,-2.20E+07
9104,-2.22E+07
9105,-2.19E+07
9106,-2.22E+07
9107,-2.21E+07
9108,-2.21E+07
9109,-2.23E+07
9110,-2.22E+07
9111,-2.23E+07
9112,-2.23E+07
9113,-2.25E+07
9114,-2.27E+07
9115,-2.26E+07
9116,-2.29E+07
9117,-2.31E+07
9118,-2.29E+07
9119,-2.28E+07
9120,-2.26E+07
9121,-2.28E+07
9122,-2.25E+07
9123,-2.26E+07
9124,-2.25E+07
9125,-2.23E+07
9126,-2.26E+07
9127,-2.25E+07
9128,-2.27E+07
9129,-2.29E+07
9130,-2.27E+07
9131,-2.28E+07
9132,-2.27E+07
9133,-2.25E+07
9134,-2.27E+07
9135,-2.24E+07
9136,-2.25E+07
9137,-2.25E+07
9138,-2.23E+07
9139,-2.25E+07
9140,-2.23E+07
9141,-2.22E+07
9142,-2.22E+07
9143,-2.22E+07
9144,-2.23E+07
9145,-2.22E+07
9146,-2.22E+07
9147,-2.21E+07
9148,-2.19E+07
9149,-2.20E+07
9150,-2.20E+07
9151,-2.18E+07
9152,-2.20E+07
9153,-2.17E+07
9154,-2.20E+07
9155,-2.21E+07
9156,-2.18E+07
9157,-2.18E+07
9158,-2.14E+07
9159,-2.13E+07
9160,-2.13E+07
9161,-2.10E+07
9162,-2.12E+07
